community_name,inhabitants,area_km2,inhabitants_per_km2,district_until_2007,district_from_2008,image_links,criteria1,criteria2,criteria3,score
Roche (VD),1938,645,300,Aigle,Aigle,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/CHE_Roche_COA.svg/35px-CHE_Roche_COA.svg.png,0.0,24.58471760797342,100.0,44.91694352159468
Saint-Livres,696,812,86,Aubonne,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Saint-Livres-coat_of_arms.svg/35px-Saint-Livres-coat_of_arms.svg.png,100.0,21.02272727272727,0.0,44.20454545454545
Blonay – Saint-Légier,12117,3124,388,Vevey,Riviera-Pays-d’Enhaut,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/CHE_Blonay-Saint-L%C3%A9gier_COA.svg/35px-CHE_Blonay-Saint-L%C3%A9gier_COA.svg.png,100.0,18.272425249169437,0.0,43.65448504983389
Bougy-Villars,507,177,286,Aubonne,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Bougy-Villars-coat_of_arms.svg/35px-Bougy-Villars-coat_of_arms.svg.png,100.0,16.883116883116884,0.0,43.37662337662338
Denens,714,330,216,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Denens-coat_of_arms.svg/35px-Denens-coat_of_arms.svg.png,0.0,14.52922077922078,100.0,42.90584415584416
Tannay,1721,181,951,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Tannay-coat_of_arms.svg/35px-Tannay-coat_of_arms.svg.png,0.0,13.879870129870127,100.0,42.77597402597402
Begnins,1941,479,405,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Begnins-coat_of_arms.svg/35px-Begnins-coat_of_arms.svg.png,0.0,13.392857142857142,100.0,42.67857142857143
Lonay,2672,372,718,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Lonay-coat_of_arms.svg/35px-Lonay-coat_of_arms.svg.png,0.0,12.905844155844157,100.0,42.58116883116883
Sainte-Croix,4876,3947,124,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Sainte-Croix-coat_of_arms.svg/35px-Sainte-Croix-coat_of_arms.svg.png,100.0,12.824675324675324,0.0,42.564935064935064
Chéserex,1245,1058,118,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Cheserex-coat_of_arms.svg/35px-Cheserex-coat_of_arms.svg.png,0.0,11.525974025974026,100.0,42.3051948051948
Villars-Epeney,91,86,106,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Villars-Epeney-coat_of_arms.svg/35px-Villars-Epeney-coat_of_arms.svg.png,100.0,8.603896103896105,0.0,41.72077922077922
